,full_text,created_at,favorite_count,quote_count,retweet_count,reply_count
0,This week in Nature: Lonely plants – isolation in arid environments drives high levels of trait diversity. Browse the full issue: https://t.co/MqsHyu2X5G https://t.co/cSKfT1RUgQ,2024-08-22T16:50:42.000Z,95,1,16,5
1,"Dr. Katie Bouman, who led the creation of an algorithm that helped capture the first ever image of a black hole, tells us what this breakthrough means for science 👩‍🔬 #EHTBlackHole #BlackHole https://t.co/ckwqoibFKl",2019-04-11T15:59:16.000Z,32470,2429,11540,450
2,"Dr. Katie Bouman, who led the creation of an algorithm that helped capture the first ever image of a black hole, tells us what this breakthrough means for science 👩‍🔬 #EHTBlackHole #BlackHole https://t.co/GytahzG8bh",2019-04-13T14:00:36.000Z,8462,412,2488,145
3,Japanese research no longer world class — here's why https://t.co/ZufadfHJwF,2023-10-25T09:43:16.000Z,6973,1038,3642,70
4,"Cutting health and science support should not be an option in Argentina’s election.

As the nation chooses its next president, citizens must consider the wider benefits of research investment — long-term prosperity, well-being and growth https://t.co/IKWEHUwFfZ",2023-11-07T19:52:50.000Z,6918,486,2626,376
5,"It’s #CRISPR. Emmanuelle Charpentier and Jennifer Doudna ,who pioneered the revolutionary gene-editing technology, are the winners of this year’s #NobelPrize in Chemistry.  #NobelPrize2020
https://t.co/I9uqEE41or",2020-10-07T10:25:27.000Z,5511,356,1726,53
6,The new president has the opportunity to reverse four years of anti-science policies — but he has a hard road ahead as he inherits a nation divided. https://t.co/CPVvWCpGWR,2020-11-07T17:00:34.000Z,5428,211,984,142
7,"In 2020, Nature endorsed Joe Biden in the US presidential election. A survey finds that viewing the endorsement did not change people’s views of the candidates, but caused some to lose confidence in Nature and in US scientists generally https://t.co/lvrgXmsrl5",2023-03-20T22:20:28.000Z,5086,784,928,1250
8,"Thanks to a complex mathematical algorithm, these plastic shapes follow a very specific route as they roll. 

In fact, researchers have shown that a shape can be designed to follow almost any path you can think of. https://t.co/ia6G8bAS4f",2023-08-10T14:54:39.000Z,4528,163,1096,40
9,A lab-made bat coronavirus related to SARS has been shown to infect human cells. https://t.co/xnsF4NkmTE https://t.co/8HQ0LZLq8Z,2015-11-16T07:40:31.000Z,3372,1786,2253,309
10,"Astronomer Scott Sheppard has discovered 20 new moons orbiting Saturn, bringing its total to 82 and moving it ahead of Jupiter, which has 79. Help name 'em at @SaturnLunacy https://t.co/J5sAF24Wtx https://t.co/Ra4jxtT8hn",2019-10-08T16:40:27.000Z,3691,579,1430,472
11,"As Brazil’s environment minister, Marina Silva helped to rein in rampant deforestation and rebuild institutions that were weakened by the previous government https://t.co/6CKcBQCHts",2023-12-27T00:01:37.000Z,3844,78,687,376
12,"The #NobelPrize in Physiology or Medicine has been awarded to Katalin Karikó and Drew Weissman for their ""discoveries concerning nucleoside base modifications that enabled the development of effective mRNA vaccines against COVID-19""

More to follow https://t.co/jVfybijldq",2023-10-02T09:48:16.000Z,3518,141,780,91
13,"On June 10, Nature will be joining #ShutdownStem #shutdownacademia #strike4blacklives. We will be educating ourselves and defining actions we can take to help eradicate anti-Black racism in academia and STEM https://t.co/QtOe1i0FLz. Please join us. https://t.co/R6k11JjqU5",2020-06-09T15:53:05.000Z,3396,677,1434,809
14,US mathematician Karen Keskulla Uhlenbeck — who is legendary for her skill with partial differential equations — has become the first woman to win the prestigious Abel prize in mathematics. https://t.co/nWDiXzrB1o,2019-03-19T11:10:12.000Z,3282,89,1396,32
15,"The Brazilian politician who turned the tide on deforestation

As Brazil’s environment minister, Marina Silva helped to rein in rampant deforestation and rebuild institutions that were weakened by the previous government

#Natures10 #COP28 https://t.co/1LvxXvwshN",2023-12-13T18:48:36.000Z,3269,141,736,177
16,"The daughter of a scientist and a supporter of diversity in STEM, Harris’s prospects have stirred optimism among scientists. https://t.co/EYJpZZE1MM",2024-07-22T22:16:26.000Z,3096,123,720,409
17,"Falling behind: postdocs in their thirties tire of putting life on hold. 

Read the results of Nature’s second global survey of postdoctoral researchers https://t.co/jYxKuLT3B9",2023-10-24T13:50:13.000Z,3030,334,1247,42
18,‘Extremely worrying’: Argentinian researchers reel after election of anti-science president https://t.co/pZP1l8yxVt,2023-11-20T19:43:22.000Z,3031,196,936,359
19,"Large, near-blind shark officially the world’s longest-living vertebrate at 272 yrs old https://t.co/4EodmU8pD1 https://t.co/uTQhib65xu",2016-08-12T06:20:10.000Z,2407,201,1752,17
20,"This ""speck of the Universe"" is the first scientific image from @NASA's Webb telescope – the deepest astronomical picture of the distant Universe. 
[credit: NASA, ESA, CSA, and STScI] https://t.co/WlJtnvXpgC",2022-07-11T22:24:03.000Z,2481,108,594,28
21,First image of a black hole revealed by the Event Horizon Telescope @ehtelescope #BlackHole #EHTBlackHole #RealBlackHole https://t.co/3BNDO2XD8L,2019-04-10T13:08:14.000Z,2398,193,1457,23
22,"Vaccinated children are less likely than unvaccinated children to develop long COVID, the myriad of symptoms that can last for months to years following a SARS-CoV-2 infection https://t.co/NBc55UJML0",2023-12-20T10:05:54.000Z,2333,221,985,915
23,"Genetic analysis reveals that a woman who died 90,000 years ago was half Neanderthal and half Denisovan. https://t.co/bzK3AVrsM3",2018-08-22T17:05:04.000Z,2253,149,1516,31
24,PhD and master’s students worldwide report rates of depression and anxiety that are six times higher than those in the general public. What do you think should be done to help? https://t.co/uAlQUHdfWo,2018-03-26T10:10:23.000Z,2172,459,1874,210
25,This week in Nature: Mexican genomics – biobanks offer genetic insights into the diverse population of Mexico. Browse the full issue here: https://t.co/ECfydSnxtq https://t.co/XSORWEs8KR,2023-10-26T11:31:27.000Z,2117,71,768,20
26,A superhuman poker-playing bot called Pluribus has beaten top human professionals at six-player no limit Texas hold ‘em poker. https://t.co/0afTYKHAGY,2019-07-12T09:45:23.000Z,2030,75,387,63
27,The Nobel Prize in Physiology or Medicine has just been awarded to Swedish geneticist Svante Pääbo https://t.co/cKrcZqqfGE,2022-10-03T09:34:26.000Z,2073,31,381,21
28,Argentina presidential election: front runner Javier Milei vows to slash science funding https://t.co/MUygf1MD39,2023-10-16T17:45:55.000Z,1982,288,764,140
29,"Salaries for PhD students in the biological sciences fall well below the basic cost of living at almost every institution and department in the US, according to crowdsourced data https://t.co/cTsxWsb2TF",2022-05-23T16:22:43.000Z,1981,204,823,28
30,"New paper in @NatureMedicine: ""Our analyses clearly show that SARS-CoV-2 is not a laboratory construct or a purposefully manipulated virus."" https://t.co/vxZ6hEJUh3",2020-03-17T16:56:30.000Z,1896,281,1197,84
31,"Researchers have created the largest atlas of human brain cells so far, revealing more than 3,000 cell types — many of which are new to science https://t.co/IndMKmLlrk",2023-12-26T03:30:49.000Z,1881,32,630,19
32,An orangutan in Sumatra surprised scientists when he was seen treating an open wound on his cheek with a poultice made from a medicinal plant https://t.co/PQXfNrdKwN,2024-05-02T22:49:09.000Z,1959,103,577,21
33,"Radio astronomers have imaged the super massive black hole at the centre of the Milky Way, named Sagittarius A*. This is only the second-ever picture of a black hole – in 2019 the same team unveiled a historic image of a more distant black hole. https://t.co/0G6J9h8P28",2022-05-12T13:11:44.000Z,1859,146,539,24
34,"Dr Elisabeth Bik has been announced as the winner of this year's John Maddox Prize, an award which recognises researchers who have shown great courage and integrity in standing up for science. Find out more about her work finding errors in research papers: https://t.co/MyNePoecTt",2021-12-01T19:54:26.000Z,1791,88,444,92
35,A man in Germany has become at least the third person with HIV to be declared cleared of the virus after a procedure that replaced his bone marrow cells with HIV-resistant stem cells from a donor https://t.co/djOw58kHAL,2023-02-21T09:26:56.000Z,1783,51,415,27
36,"We recognize that Nature is one of the white institutions that is responsible for bias in research and scholarship. We commit to working to end anti-Black practices in research. #ShutdownStem 
https://t.co/hLJnXenlRS",2020-06-10T08:32:03.000Z,1718,180,595,277
37,"Exclusive: Galileo's original letter arguing against church doctrine that the sun orbits the earth has been discovered, revealing new details about the saga that led to his condemnation for heresy. https://t.co/S7bKYWS2bB",2018-09-21T10:47:40.000Z,1639,106,1017,36
38,Researchers have stumbled on a question that is mathematically unanswerable because it is linked to logical paradoxes discovered by famed mathematician Kurt Gödel. https://t.co/anf6g9u08W,2019-01-08T22:45:23.000Z,1652,60,619,40
39,Researchers have made the first ring-shaped molecule of pure carbon — a circle of 18 atoms. https://t.co/5cG7E5prWR,2019-08-18T15:00:56.000Z,1602,28,375,26
40,PhD &amp; master’s students report rates of depression &amp; anxiety that are six times higher than those in the general public. (https://t.co/RF5A1rfTPQ). What could institutions and workplaces do to better support those who are affected? #WorldMentalHealthDay https://t.co/lexb9SWzZj,2019-10-10T11:50:04.000Z,1613,268,958,85
41,"In a world first, the UK medicines regulator has approved a therapy that uses CRISPR gene editing as a treatment for diseases https://t.co/Lk7eZ4Tkiz",2023-11-16T15:55:00.000Z,1560,59,536,15
42,2016 in pictures: Our pick of the best science images of the year https://t.co/hqtgZTFRHP https://t.co/E75T3D2dk5,2016-12-20T11:27:53.000Z,1492,38,726,38
43,“It appears that the Pfizer vaccine boosted antibody responses remarkably in one-dose AstraZeneca vaccinees. This is all around wonderful news.” https://t.co/QjMr82q13P,2021-05-19T17:39:58.000Z,1531,133,638,33
44,A 60-year-old man in Germany has become at least the seventh person with HIV to be announced free of the virus after receiving a stem-cell transplant https://t.co/DrpqvQpYdR,2024-07-26T11:45:17.000Z,1585,47,583,37
45,"When a long-term memory forms, some brain cells experience a rush of electrical activity so strong that it snaps their DNA. 

Then, an inflammatory response kicks in, repairing this damage and helping to cement the memory, a study in mice shows https://t.co/630UwbkljL",2024-03-28T17:21:51.000Z,1516,71,472,24
46,Nature research paper: The complete sequence of a human Y chromosome https://t.co/d1Zu9Xw9DK,2023-08-23T18:31:32.000Z,1529,63,535,17
47,"""Instead of dog-eat-dog, maybe we will have a modicum of international cooperation, greater adherence to laws and treaties, more civility in politics across the globe, less ‘fake news’, more smiles and less anger.” #Election2020
https://t.co/lwe5Ks2S7W",2020-11-07T23:00:05.000Z,1495,43,175,89
48,"The Nobel Prize in Physiology or Medicine has been awarded to biochemist Katalin Karikó and immunologist Drew Weissman for discoveries that enabled the development of mRNA vaccines against COVID-19.
 https://t.co/PKLDDqoGi9",2023-10-02T10:16:12.000Z,1523,25,373,44
49,Obituary: Maxine Singer (1931-2024) biologist who shaped genetic engineering and fought discrimination https://t.co/zGjyNygXkC,2024-08-03T07:08:52.000Z,630,11,192,6
50,"Today, a @US_FDA panel are discussing the first human trials of artificial womb technology. 

In 2017, one of these systems sustained fetal lambs for up to 4 weeks. 

Read more about the tech, which could reduce deaths and disability for preterm babies: https://t.co/nZh4EMHIKt https://t.co/0UVXhwfmv9",2023-09-19T14:49:17.000Z,1513,92,403,45
51,Watson and Crick were widely believed to have hit on the structure of DNA after stealing data from Rosalind Franklin – but newly-discovered documents suggest a different account of this discovery: https://t.co/wR8fBl5cNJ,2023-04-25T15:09:51.000Z,1479,73,558,14
52,Elisabeth Bik quit her job to spot errors in research papers — and has become the public face of image sleuthing. https://t.co/6SbQHHb6yi,2020-05-13T10:57:28.000Z,1422,69,406,22
53,"#Natures10: The science defender.

As chaos spiked in the Amazon, physicist Ricardo Galvão became a national hero by challenging Brazil’s government. Read more: https://t.co/T1FSsIy0u4 https://t.co/YIZILSUz0T",2019-12-26T14:00:07.000Z,1402,48,504,19
54,More than 800 signatories call for the entire concept of statistical significance to be abandoned. https://t.co/MgDBhjyyaQ,2019-03-21T12:45:04.000Z,1380,189,819,63
55,This was the moment the first image of a black hole was announced at the press conference in Brussels #blackhole #EHTblackhole #RealBlackHole #M87 https://t.co/fuVXv1Pztp,2019-04-10T13:23:54.000Z,1325,100,830,17
56,The 2018 #NobelPrize in Physiology or Medicine has been awarded jointly to James P. Allison and Tasuku Honjo “for their discovery of cancer therapy by inhibition of negative immune regulation.” https://t.co/GlpWlRrz93,2018-10-01T09:33:32.000Z,1373,62,985,12
57,"Months after infection with SARS-CoV-2, some people are still battling crushing fatigue, lung damage and other symptoms of ‘long COVID’. https://t.co/axSpGtJt2N",2020-09-14T13:04:23.000Z,1322,184,1003,41
58,Scientists captured a zebrafish embryo’s development over 12 hours using a specially designed microscope and a non-destructive technique called light-sheet imaging (Gif credit: Loïc A. Royer &amp; Merlin Lange). See more amazing science images: https://t.co/bUL5ddjTVc https://t.co/hEQOHQP9f7,2022-10-03T16:13:38.000Z,1326,42,262,48
59,"Over 9,000 scientists told us about how they use the social-media platform now known as X. More than half of respondents have reduced their time on the platform, and 7% have stopped using it altogether https://t.co/dHP6fa2mFZ",2023-08-16T12:32:09.000Z,1329,125,608,186
60,"The @NIH will no longer score researchers’ expertise and institutions during grant evaluations, from 2025. Last week, the agency announced that it's moving forward with a plan to overhaul its grant-review system for the first time in years. The agency says the changes will reduce…",2023-10-24T15:29:09.000Z,1297,73,425,39
61,Differences between neutrinos and antineutrinos might help to explain one of the Universe’s biggest mysteries. https://t.co/138IBgeu6m,2020-04-16T09:08:40.000Z,1258,19,246,28
62,Scientists have developed tiny robots made of human cells that are able to repair damaged neural tissue https://t.co/d8qzTuQQwJ,2023-11-30T18:31:15.000Z,1282,42,410,27
63,Emmanuelle Charpentier and Jennifer Doudna share award for developing the precise genome-editing technology. https://t.co/W0q9Zvw31J,2020-10-07T10:35:52.000Z,1279,47,366,6
64,Skin colour affects the accuracy of medical oxygen sensors https://t.co/rUbHDx3GJy,2022-10-20T04:17:56.000Z,1237,46,342,22
65,"Scientists identify the brain cells that regulate inflammation, and pinpoint how they keep tabs on the immune response https://t.co/N9cljNPS3R",2024-05-02T09:47:56.000Z,1255,50,445,12
66,"Slow productivity: do fewer things, work at a natural pace and obsess over quality https://t.co/XbRH3YDwmu",2024-08-05T12:03:14.000Z,1278,80,363,27
67,"Researchers in Canada got most of what they were hoping for in the country’s 2024 federal budget, with a big boost in postgraduate pay and more funding for research and scientific infrastructure https://t.co/lvOYnUeBBQ",2024-04-17T16:48:51.000Z,1247,78,305,11
68,Biologists have produced a strain of yeast whose genome is more than 50% synthetic DNA https://t.co/XSRsx0VfZk,2023-11-08T16:26:04.000Z,1192,31,341,17
69,Canberra will become the first city outside Europe to shift from fossil fuel to 100% renewable energy. https://t.co/Yd84f5q4Ar,2019-09-22T08:30:04.000Z,1163,40,464,20
70,Anti-COVID drug Molnupiravir accelerates viral evolution https://t.co/43pz6R5eKm,2023-10-24T10:27:19.000Z,1181,171,924,51
71,Several studies have found that a greater mix of nationalities and ethnicities in the lab correlates with a lift in research output. https://t.co/TrjqxnXFj6,2018-12-25T18:00:10.000Z,1162,94,694,27
72,"Something is pumping out large amounts of oxygen at the bottom of the Pacific Ocean, at depths where a total lack of sunlight makes photosynthesis impossible https://t.co/89l1iYzS5s",2024-07-22T15:46:30.000Z,1201,96,495,48
73,"John B. Goodenough found out he was one of this year's chemistry @NobelPrize winners while he was brushing his teeth! The @NaturePodcast caught up with the man himself earlier today to talk about the award... 🎧

(Listen out for his infectious laugh!) #NobelPrize #NobelPrize2019 https://t.co/38BiRGiKA2",2019-10-09T18:51:14.000Z,1133,144,488,19
74,"A 21-year-old computer-science student has won a global contest to read the first text inside a carbonized scroll from the ancient Roman city of Herculaneum, which had been unreadable since a volcanic eruption in AD 79 https://t.co/HjFhMxxNE3",2023-10-12T21:46:30.000Z,1167,37,315,22
75,‘Mini brains’ grown in a dish have spontaneously produced human-like brain waves for the first time. https://t.co/9wmhVUbkdc,2018-11-15T19:00:23.000Z,1141,100,640,31
76,"“There’s really nothing to break anymore. This was the last resolution barrier.”
https://t.co/PY9KWDyOAE",2020-06-07T16:00:06.000Z,1133,41,288,26
77,These studies highlight a transformational life event that has long been neglected by neuroscience https://t.co/fzpCLsQUyV,2024-08-03T22:15:56.000Z,222,3,56,4
78,"Three months after Javier Milei took office as the new president of Argentina, scientists there say that their profession is in crisis https://t.co/x0dM6O4j12",2024-03-07T17:40:17.000Z,1153,50,599,26
79,Skin colour affects the accuracy of medical oxygen sensors https://t.co/co4VYK49lH,2022-10-30T08:38:02.000Z,1141,31,323,16
80,A Japanese woman has become the first person in the world to have her cornea repaired using reprogrammed stem cells. https://t.co/ncfLN2luWy,2019-09-02T13:30:10.000Z,1089,47,509,11
81,Nature research paper: Transient loss of Polycomb components induces an epigenetic cancer fate  https://t.co/9DYEptj2j4,2024-04-25T05:54:43.000Z,1119,46,1248,4
82,"Rats 'laugh' when you tickle their bellies and back paws - but not their tails 
https://t.co/yjsoQ20aEp https://t.co/YXKDgVPgaW",2016-11-13T17:00:08.000Z,1035,149,654,23
83,"Mental stress has long been linked to flare-ups of gastrointestinal conditions such as irritable bowel syndrome

Now, researchers have uncovered exact details of one way that stress can harm the intestines https://t.co/BtcXG0IqoT",2024-01-29T11:12:53.000Z,1101,25,387,11
84,Cancer-busting vaccines are coming: here's how they work https://t.co/85tCGrMM6s,2024-03-29T12:50:00.000Z,1057,54,344,23
85,"“This is not just ineptitude, it’s sabotage.”
https://t.co/riUi3GEMdU",2020-11-04T19:00:08.000Z,1026,51,259,72
86,Research at a hospital swamped by people with COVID-19 has confirmed that portable air filters effectively remove SARS-CoV-2 particles from the air https://t.co/OT3JKIxWhB,2021-10-11T19:32:00.000Z,1048,61,410,13
87,Environmental engineer Claudia Sheinbaum Pardo is probably about to make history by becoming Mexico’s first female president. Will she stand up for science? https://t.co/QAXX3BRC6X,2024-06-01T14:32:00.000Z,1123,97,271,165
88,The discovery has been key in understanding human diseases such as cancer and anaemia. #NobelPrize #NobelPrize2019 https://t.co/hQ3nkLwZfB,2019-10-07T10:38:56.000Z,1043,43,439,6
89,Scientists have developed an antibiotic that kills pathogenic Gram-negative bacteria without impairing the gut microbiome https://t.co/lgnhxrcfwH,2024-05-29T15:19:22.000Z,1113,28,371,11
90,"Why are women so much more susceptible to autoimmune diseases than men? 

A new explanation for the discrepancy has emerged https://t.co/vMwDyNxzmF",2024-02-01T17:51:02.000Z,1089,40,364,18
91,BREAKING: #LIGO confirms #gravitationalwaves detected for 1st time https://t.co/2lMvheiDcW https://t.co/Njoa0Y8mBe,2016-02-11T15:31:08.000Z,1023,0,1881,14
92,Researchers are much more likely than the general population to experience depression and anxiety. And recent studies suggest that scientists’ mental-health struggles are a direct result of a toxic research culture https://t.co/u8jGixSH1z,2023-05-23T13:31:23.000Z,1050,95,498,21
93,"We cannot stand by and let science be undermined. Joe Biden’s trust in truth, evidence, science and democracy make him the only choice in the US election. https://t.co/EKJvmj3rdR",2020-10-14T11:18:28.000Z,1026,58,334,82
94,"After decades of slow progress, therapeutic vaccines that direct the immune system to attack tumours could soon become a fixture of cancer treatment https://t.co/ZJZ35mXl9T",2024-04-01T11:52:30.000Z,1034,34,298,25
95,"Environmental engineer Claudia Sheinbaum Pardo has made history by being elected Mexico’s first female president. 

Will she stand up for science? https://t.co/5s6ZatOTxE",2024-06-03T15:29:18.000Z,1062,41,270,67
96,Father’s diet influences son’s metabolic health through sperm RNA https://t.co/DfSdy0A8v6,2024-06-08T05:03:58.000Z,1068,25,290,9
97,Nature research paper: Assembly theory explains and quantifies selection and evolution https://t.co/PkidBwfIRx,2023-10-05T05:19:54.000Z,1017,161,220,81
98,The coronavirus is here to stay — here’s what that means: https://t.co/uGhxg5fu8k https://t.co/28nzH3oosQ,2021-02-16T14:30:08.000Z,979,291,434,103
99,A dad’s sperm records his diet — and this record affects his sons’ metabolism https://t.co/dnxjTvdAaH,2024-06-05T16:02:15.000Z,1036,56,308,18
100,"The Israeli military issued a new evacuation order for southern Gaza, following a similar one in Deir el-Balah that caused thousands to flee Israeli attacks.

🔴 Follow our LIVE coverage: https://t.co/RSxfwy3mnp https://t.co/aiIMNfXLc8",2024-08-23T00:33:40.000Z,131,4,93,14
101,Pacific Islands leaders to meet as region faces ‘polycrisis’ of threats https://t.co/87fiAYvSll,2024-08-23T04:00:08.000Z,20,0,9,1
102,US tells UN Security Council Gaza ceasefire ‘in sight’ ahead of Cairo talks https://t.co/5VF01U2yxH,2024-08-23T03:45:03.000Z,26,1,7,7
103,Key takeaways from the fourth night of the Democratic National Convention https://t.co/AFatp3F6Yi,2024-08-23T03:30:06.000Z,21,1,2,2
104,"Russia-Ukraine war: List of key events, day 910 https://t.co/FT4GMWkzdH",2024-08-23T03:15:04.000Z,22,0,4,1
105,"RT @AJEnglish: Meta’s new content rules are sparking censorship concerns, including content related to Israel’s war on Gaza. Al Jazeera’s N…",2024-08-23T03:14:14.000Z,0,0,282,0
106,"⭕️ LIVE: On the final night of the DNC, Kamala Harris addresses the convention to accept the nomination for president.

Follow our LIVE coverage: https://t.co/sUQt6GInG0 https://t.co/xuFU1z4yCM",2024-08-23T02:35:26.000Z,66,1,14,11
107,"Critics say the DNC’s rejection of a Palestinian speaker excludes Palestinians from its 'big tent' coalition.
https://t.co/V0Q1h9yExm",2024-08-23T02:17:22.000Z,66,1,24,3
108,"Margalit Moses, a 77-year-old Israeli captive freed from Gaza in November, declines PM Netanyahu’s invitation to meet today, calling it a publicity stunt.

🔴 LIVE update ⤵️ https://t.co/RSxfwy3UcX",2024-08-23T02:14:10.000Z,78,2,37,1
109,"RT @AJEPodcasts: Tonight, Kamala Harris will be accepting the Democratic Party’s nomination for president of the US.

🎧 #TheTake heard from…",2024-08-23T01:59:08.000Z,0,0,8,0
110,Experts say Israel is conducting near-daily raids on Tulkarem in the occupied West Bank to uproot and scare its population https://t.co/zn2wDFGHr1 https://t.co/knhYXC8WyQ,2024-08-23T01:45:42.000Z,88,2,64,2
111,"“We ask the free people of the world to put pressure on the occupation...”

Dr. Muhammad Saqr, spokesman for Nasser Hospital, southern Gaza's last major functioning hospital, appealed for more medical supplies due to a shortage.

🔴 LIVE update: https://t.co/RSxfwy3UcX https://t.co/X86ROEbrLF",2024-08-23T01:22:43.000Z,120,3,72,3
112,The National Academy of Television Arts and Sciences defended the Emmy nomination of AJ+ contributor and Palestinian journalist Bisan Owda after a pro-Israel group called for its withdrawal. https://t.co/NhYFt9O3dA,2024-08-23T01:15:05.000Z,428,8,199,5
113,"This LIVE thread is now closed. 

🔴 Follow https://t.co/9o3ihGHt9b for more ⤵️",2024-08-23T00:17:12.000Z,6,0,0,2
114,"On the final night of the DNC, VP Kamala Harris will take the stage to accept the party’s nomination for president.

🟡 Follow our LIVE coverage: https://t.co/pgtCpmKzK9 https://t.co/pc4iywPFnd",2024-08-23T00:14:55.000Z,22,0,7,6
115,"While Tim Walz accepted his VP nomination, protesters in support of Palestine kept up the pressure on day three of the DNC https://t.co/GCPNUVqwgH https://t.co/IW2l4nFBLE",2024-08-22T23:39:37.000Z,58,2,16,8
116,"RT @AJE_Sport: In Kenya's rapidly expanding Dadaab refugee camp, football is now seen as the best hope for its youth.
https://t.co/mimXID7j…",2024-08-22T23:30:33.000Z,0,0,7,0
117,Activists in Germany supporting Palestine say police are singling them out with harsh and sometimes violent tactics not routinely applied to others. https://t.co/ms80hOSRcc,2024-08-22T23:05:01.000Z,1511,62,971,114
118,A new strain of the mpox virus is rapidly spreading within Africa and has been discovered in Asia and Europe https://t.co/00hmQ2YFFn https://t.co/5GSjr0a3L0,2024-08-22T22:06:46.000Z,56,1,25,2
119,"As we begin the Closing Ceremony, we say “Merci Paris”! 🇫🇷🙏

A magical city! A magical Olympic Games! ✨

#Paris2024 #ClosingCeremony https://t.co/xZUcUswYq2",2024-08-11T19:04:41.000Z,18978,391,3483,1323
120,"Heart of a champion, strength of a mother. Yaylagul Ramazanova redefined limits at Paris 2024. 🎯✨

#Olympics #Paris2024 https://t.co/MbdiWPAmUp",2024-08-22T18:26:10.000Z,1036,18,142,80
121,"Take a tour with us and learn all about one of the most famous Olympic venues ever: the Los Angeles Memorial Coliseum! 🏟️

We'll be back for @LA28 to write even more chapters in the history books! 🔥

#LA28 https://t.co/jyow3DHCa9",2024-08-22T17:15:28.000Z,236,5,67,44
122,"It’s a rare opportunity to make history at your home Olympic Games, but judo legend Teddy Riner did just that!

He continued his illustrious Olympic run with two gold medals at #Paris2024, all in front of his home crowd! 🥋🥇🥇 https://t.co/yPclMHAlbW",2024-08-22T17:14:45.000Z,179,2,29,36
123,"Steph Curry hit 22 three-pointers at Paris 2024. Here is EVERY. SINGLE. ONE. OF. THEM! 🔥🏀

#Paris2024 @Paris2024 @TeamUSA @USABasketball @StephenCurry30 https://t.co/swE8Sa2ZC9",2024-08-22T12:47:45.000Z,2936,64,795,58
124,"Paris 2024 is wrapped with some incredible moments that embodied the Olympic spirit. 🤩💪

Check out five extraordinary acts of sporting spirit. Which would you vote for to win the Paris 2024 Fair Play Award? Click the carousel 👇 Vote now!

#Olympics",2024-08-22T12:00:04.000Z,101,18,23,28
125,"From Rio 2016 to Paris 2024. 🥇🥇🥇

Belgium's @thiam_nafi has written an incredible chapter in Olympic and Heptathlon history. With three consecutive gold medals, she has secured her name as one of the greatest in athletics. 🎉

#Olympics | #Paris2024 | #Athletics… https://t.co/5bx4QtwzWt",2024-08-22T10:55:38.000Z,255,2,51,36
126,"Set your heights high. ⬆️ 

2️⃣0️⃣ years ago today, Stefan Holm proved them wrong. #Olympics #Athens2004

@scholm240 | @SWEOlympic | @WorldAthletics https://t.co/aIKBB3yYIF",2024-08-22T08:00:16.000Z,542,11,95,37
127,"Leon Marchand’s epic #Paris2024 gold medal run will definitely go down in Olympic and French history!🤯🇫🇷🥇

#Olympics https://t.co/nBzENQk85y",2024-08-22T00:00:14.000Z,1157,13,190,29
128,"Did you know about the pin tradition present at every Olympic Games? 

Dating back to the first Olympic Games in Athens in 1896, it's still alive today, and we witnessed it at #Paris2024 😍

@oiglanejanek I @yoerihavik https://t.co/5H3KgeYUam",2024-08-21T10:16:54.000Z,267,6,54,44
129,"🌍 Climate Action Awards 2024 announcement! 📣 Here are the five athletes who have made the final.

The awards are supported by Worldwide Olympic and Paralympic Partner @Deloitte. 

Click the link in the carousel to find out more. 👆",2024-08-21T09:04:29.000Z,58,0,9,41
130,"If celebration dances were in the #Olympics, all these moves would deserve gold! 😉

This is how champions grooved at the Olympic Village! 🤩

#LetsMove https://t.co/fpYRxNe113",2024-08-20T16:00:42.000Z,408,3,79,66
131,"The effect Olympic glasses had on the French rhythmic @gymnastics team 🤩

 #Paris2024 I @EquipeFRA https://t.co/Q8HSvhZRzJ",2024-08-20T14:54:40.000Z,270,1,42,51
132,"Ready to celebrate the Olympic Games? My Olympic™ Rewards is the place to be for all things Olympic fandom. You can take on challenges, earn rewards and even personalise your fandom with an Intel AI-powered badge.

Join now! ➡️ https://t.co/qJp0WCtzDM 
#Olympics… https://t.co/2JO7kXp6tf",2024-08-20T11:31:56.000Z,72,1,17,41
133,"""That is massive from Arshad Nadeem!"" 💪

Check out the highlights from the epic men's javelin battle between Arshad Nadeem and Neeraj Chopra, as the athlete from Pakistan won gold with an Olympic record throw of 92.97m. 🤯

#Paris2024 @Paris2024 @WorldAthletics @NOCPakistan https://t.co/YBeLAcl0Al",2024-08-20T11:04:36.000Z,7903,53,1778,169
134,"What a three years! 🥇🥇🥈🥉

A gold and bronze at Paris 2024 means Alex Yee has become the most decorated Olympic triathlete of all time. ▶️ See his story.

#Olympics | #Paris2024 | #Triathlon 
@worldtriathlon | @BritTri | @Lixsanyee https://t.co/hWye7QiDwO",2024-08-20T08:59:11.000Z,220,1,40,38
135,"Relive Canada's stunning victory in the Paris 2024 men’s 4x100m final! 🇨🇦🏃‍♂️💨
Aaron Brown, Jerome Blake, Brendon Rodney and Andre De Grasse clinched the gold medal Canada had been striving for. 

🥉 at Rio 2016
🥈 at Tokyo 2020
🥇 at Paris 2024

#Paris2024 @Paris2024 @TeamCanada https://t.co/NA0BwCXikD",2024-08-19T18:55:53.000Z,1502,24,227,82
136,"Phryge on a jet ski? Only at Teahupo’o! 🌊😍 The Olympic spirit was riding as high as the waves!

#Olympics #Paris2024 https://t.co/HAQa8UCumk",2024-08-19T18:07:01.000Z,727,16,116,68
