,full_text,created_at,favorite_count,quote_count,retweet_count,reply_count
1400,NOAA says July 2012 was the hottest month on record for contiguous United States http://t.co/CaD2r3xu,2012-08-09T06:12:34.000Z,60,0,2,1
1401,Rain is expected at Donald Trump's Inauguration and the Secret Service has banned umbrellas https://t.co/XYBbRkM4l3 https://t.co/KBGcHo56oR,2017-01-17T22:55:50.000Z,51,13,42,6
1402,Video: Spider frightens meteorologist http://t.co/FYjNWL7MRN,2013-07-10T06:26:29.000Z,28,0,1,0
1403,The Weather Channel to start naming winter storms this year http://t.co/HWODq7mn (via @science),2012-10-03T01:17:22.000Z,20,0,3,0
1404,Dallas to St. Louis at risk for tornadoes during severe weather outbreak beginning Wednesday afternoon http://t.co/xnsLRDdm0N,2013-04-17T07:34:30.000Z,17,0,1,0
1405,RT @science: 100-foot high firenado caught on film in Australian Outback http://t.co/Q4MI2KGw,2012-09-19T01:52:54.000Z,15,0,2,0
1406,18 deaths blamed on recent heat wave in Chicago http://t.co/4IYgYDXX,2012-07-09T18:37:24.000Z,12,0,3,0
1407,Evidence indicates Jamestown settlers turned to cannibalism to survive winter of 1609-1610 http://t.co/QllEGuYwlY,2013-05-02T06:40:28.000Z,12,0,2,0
1408,"The Weather Channel has named the latest storm Wanda. It offers snow, ice, wind, tstorms, rain and possible tornadoes http://t.co/6bRDqWmskB",2013-04-09T14:26:01.000Z,12,0,1,0
1409,45% chance of DC getting 5-inches or more from upcoming snowstorm says Capital Weather Gang http://t.co/8I948nhfnE,2013-03-04T00:13:16.000Z,11,0,3,0
1410,Smokenado forms in field in Mississippi http://t.co/LO8thMG3Uz,2013-09-12T22:33:54.000Z,8,0,16,3
1411,Video Tree outside a Wisconsin high school was destroyed by a lightning bolt that traveled down its trunk https://t.co/qn7FXLlomD,2021-04-13T12:44:14.000Z,10,1,4,0
1412,Video: Mammatus clouds in Michigan http://t.co/WZvv0nY21p,2013-08-07T22:13:17.000Z,11,0,0,0
1413,Hottest temperatures of the summer arrive this week for the Northeast http://t.co/mc1v2UDO,2012-06-20T08:28:57.000Z,10,0,1,0
1414,UK issues first Red Heat Warning for record high temperatures expected early next week https://t.co/vOtbIBNMDi,2022-07-16T22:22:14.000Z,8,1,4,1
1415,Destructive snowstorm targets interior Northeast http://t.co/5agKlRtm,2012-04-22T18:00:58.000Z,11,0,3,0
1416,U.S. Rainfall Potential from Hurricane Irma https://t.co/kcsJ5Suk8t https://t.co/0eyY8hP18t,2017-09-08T21:50:44.000Z,10,0,8,1
1417,"Ice Storm brewing for Chicago, Detroit, St. Louis http://t.co/FohNgFAV",2013-01-27T04:00:13.000Z,9,0,2,0
1418,Massive Austrialian wildfire expected to generate a pyrocumulus cloud http://t.co/EaAJrx0Q2h,2013-10-22T01:40:28.000Z,10,0,1,0
1419,July could set record for fewest tornadoes http://t.co/JroPjKfH,2012-07-27T15:16:11.000Z,8,0,3,0
1420,"Fairbanks, Alaska has not had a day above 50 degrees since Oct. 4, 2012 http://t.co/eQDZf9r9mo",2013-05-10T10:27:11.000Z,7,0,0,2
1421,"Strong winter storm spreads east bringing rain, snow and slush to the Mid-Atlantic http://t.co/kzSF3UT20f",2013-03-24T21:53:41.000Z,8,0,0,0
1422,RT @science: Hoar Frost explained http://t.co/bQ61cuqB,2012-09-16T01:15:13.000Z,9,0,1,0
1423,"Alberta, Canada hit by massive flooding http://t.co/NSWQ22tEC8",2013-06-21T22:31:54.000Z,8,0,1,0
1424,"Dangerous High Risk Outlook Coming Today for Severe Thunderstorms, Possible Tornado Outbreak - includes Central Oklahoma,   North-central Oklahoma, West-central Oklahoma and Far Southern Kansas https://t.co/NB0lwpYWs6",2024-05-06T12:20:54.000Z,6,0,4,0
1425,Severe weather rocks Eastern seaboard http://t.co/QgMz8LB6,2012-06-02T01:13:01.000Z,8,0,2,0
1426,"Weather History: Indianola, Texas was wiped out by hurricane in 1886, remains underwater ghost town http://t.co/NEAa0U1T (via @science)",2012-12-11T16:24:13.000Z,7,0,0,1
1427,10 million acres of crops in Iowa flattened by derecho storm https://t.co/RVpnHIhGwM,2020-08-14T04:38:22.000Z,7,0,2,0
1428,"Tropical Storm Flossie headed for Hawaii, max winds 60 mph http://t.co/uRIAQaFqgH",2013-07-28T10:44:32.000Z,8,0,1,0
1429,RT @science New IPCC report warns of extreme weather to increase due to Climate Change http://t.co/Ya0MAPxs,2011-11-20T02:48:13.000Z,7,0,2,0
1430,"Footage of flying debris from Milan, Italy tornado http://t.co/FbLLKzXiKW",2013-08-02T12:25:37.000Z,6,0,1,0
